classtype,flagno,storeno,storename,undertaker,storeaddr,contacttel,taxno
1,8796,N000379,進程車業有限公司,黃寶玉,506彰化縣福興鄉沿海路３段１７３，１７５號,04-7702273,
1,8796,N000376,進成機車行,徐大杉,"510彰化縣員林市崙雅里 崙雅巷１－６號",04-8313271,
1,8796,N000366,順圓利機車行,黃寶來,509彰化縣伸港鄉中興路２段２９８號１樓,04-7981390,
1,8796,N000364,銓湧機車有限公司,賴利湧,508彰化縣和美鎮彰美路六段63號,04-7553145,
1,8796,N000342,谷村車業有限公司,林谷村,508彰化縣和美鎮東溪路４６號,04-7355185,
1,8796,K000241,金祥機車行,彭俊欽,357苗栗縣通霄鎮平安里中正路275號,037-752646,
1,8796,H001359,聖協車業行,劉秀美,324桃園市平鎮區文化街196號,4010530,
1,8796,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,8795,K000249,大明機車行(苗),李奕霆,357苗栗縣通霄鎮通西里中山路25鄰197號,037-752217,
1,8795,D000401,新益昌車行,邱聖佳,701臺南市東區崇德路659號之10,06-2681111,
1,8794,R000443,振富車業有限公司,曾治富,710臺南市永康區民族路483號,062710842,
1,8794,N000377,芳裕機車行,徐振富,510彰化縣員林市育英路１５５號１樓﹒地下１樓,04-8340396,
1,8794,N000347,宏隆機車行,梁朝期,526彰化縣二林鎮新生路９４號,04-8960611,
1,8794,K000268,德山車行,郭銘忠,358苗栗縣苑裡鎮中正里10鄰43號,037-865811,
1,8794,K000251,尚麒機車行,朱國禎,350苗栗縣竹南鎮光復路345號,037-481530,
1,8794,K000242,益來機車行,黃運來,350苗栗縣竹南鎮龍鳳里建國路440號,037-471610,
1,8794,E000732,鈞慶車業股份有限公司,莊素貞,802高雄市苓雅區武營路437號,07-7527001,
1,8793,D000345,KYMCO_鑫峰車業行,鄭任峰,701臺南市東區裕農路868-10號,06-3319589,
1,8792,N000349,東隆機車有限公司,徐錫恩,514彰化縣溪湖鎮員鹿路二段526號,04-8810261,
1,8792,K000226,順興機車行,吳進欽,360苗栗縣苗栗市勝利里31鄰新東街160號,037-355930,
1,8695,R000031,大同綜合訊電股份有限公司-大同3C_鹽水門市,詹政宏,737臺南市鹽水區朝琴路130號1樓A棟,06-6522309,
1,8688,N000004,興業建設股份有限公司員林分公司,陳奕輝,513彰化縣埔心鄉瓦南村中山路319號,04-8315058#501,
1,8631,R000037,大同綜合訊電股份有限公司-大同3C_白河服務站,蘇崑山,732臺南市白河區中山路140號,06-6852745,
1,8630,N000004,興業建設股份有限公司員林分公司,陳奕輝,513彰化縣埔心鄉瓦南村中山路319號,04-8315058#501,
1,8613,N000258,7-11秀水門市,廖培雁,504彰化縣秀水鄉文化街31號.,02-27478711#3961,
1,8613,N000257,7-11新安可門市,廖培雁,514彰化縣溪湖鎮西環路373號,02-27478711#3961,
1,8613,N000242,7-11田中門市,趙佩玟,520彰化縣田中鎮福安路144.146號,02-27478711#3965,
1,8613,N000238,7-11彰強門市,廖培雁,500彰化縣彰化市五權里自強南路80-11號1樓,02-27478711#3961,
1,8613,N000236,7-11欣二林門市,廖培雁,526彰化縣二林鎮斗苑路5段109.111.113號1樓,02-27478711#3961,
1,8613,N000218,7-11明道站門市,廖培雁,524彰化縣溪州鄉中山路4段627號,02-27478711#3961,
1,8613,N000216,7-11金佳旺門市,廖培雁,511彰化縣社頭鄉中山路一段516號,02-27478711#3961,
1,8613,N000214,7-11加吉利門市,廖培雁,520彰化縣田中鎮中正路276號,02-27478711#3961,
1,8613,N000210,7-11新社頭門市,廖培雁,511彰化縣社頭鄉員集路二段279號,02-27478711#3961,
1,8613,N000206,7-11伸東門市,趙佩玟,509彰化縣伸港鄉七嘉村中華路519號,02-27478711#3965,
1,8613,N000200,7-11彰鐵門市,廖培雁,500彰化縣彰化市三民路1號,02-27478711#3961,
1,8613,N000186,7-11瓦瑤厝門市,廖培雁,513彰化縣埔心鄉員鹿路一段126.128.130號,02-27478711#3961,
1,8613,N000177,7-11伸冠門市,廖培雁,509彰化縣伸港鄉大同村中興路二段316號,02-27478711#3961,
1,8613,N000174,7-11惠明門市,廖培雁,510彰化縣員林市惠明街51號,02-27478711#3961,
1,8613,N000172,7-11儒林門市,廖培雁,526彰化縣二林鎮北平里仁愛路376號,02-27478711#3961,
1,8613,N000168,7-11鹿棋門市,廖培雁,505彰化縣鹿港鎮溝墘里鹿和路3段438號,02-27478711#3961,
1,8613,N000167,7-11管嶼門市,廖培雁,506彰化縣福興鄉沿海路三段69號,02-27478711#3961,
1,8613,N000164,7-11彰辭門市,廖培雁,500彰化縣彰化市忠孝里辭修路292號,02-27478711#3961,
1,8613,N000162,7-11美皇門市,廖培雁,515彰化縣大村鄉山腳路72號,02-27478711#3961,
1,8613,N000159,7-11芬草門市,廖培雁,502彰化縣芬園鄉茄荖村芬草路一段607號,02-27478711#3961,
1,8613,N000146,7-11家和門市,廖培雁,510彰化縣員林市員集路二段188號1樓,02-27478711#3961,
1,8613,N000144,7-11曉陽門市,廖培雁,500彰化市民族路287號,02-27478711#3961,
1,8613,N000138,7-11得利門市,廖培雁,500彰化縣彰化市中華西路252號,02-27478711#3961,
1,8613,N000136,7-11智富門市,廖培雁,500彰化縣彰化市萬安里長順街170號,02-27478711#3961,
1,8613,N000135,7-11金順利門市,廖培雁,523彰化縣埤頭鄉和豐村斗苑東路87、89號,02-27478711#3961,
1,8613,N000131,7-11斗苑門市,廖培雁,523彰化縣埤頭鄉埤頭村斗苑東路608號,02-27478711#3961,
1,8613,N000126,7-11鶴鳴門市,廖培雁,504彰化縣秀水鄉鶴鳴村彰鹿路362號,02-27478711#3961,
1,8613,N000124,7-11新大埔門市,廖培雁,500彰化縣彰化市大埔路485巷37號,02-27478711#3961,
1,8613,N000122,7-11美溪門市,廖培雁,514彰化縣溪湖鎮大溪路2段451號,02-27478711#3961,
1,8613,N000120,7-11創新門市,廖培雁,505彰化縣鹿港鎮順興里復興路595號1樓,02-27478711#3961,
1,8613,N000119,7-11秀鴻門市,廖培雁,504彰化縣秀水鄉埔崙村民生街960號,02-27478711#3961,
1,8613,N000116,7-11金福興門市,廖培雁,506彰化縣福興鄉西勢村員鹿路2段202號,02-27478711#3961,
1,8613,N000111,7-11大竹門市,廖培雁,500彰化縣彰化市大竹里彰南路2段181號,02-27478711#3961,
1,8613,N000108,7-11和峰門市,廖培雁,508彰化縣和美鎮道周路120號,02-27478711#3961,
1,8613,N000105,7-11馬上發門市,廖培雁,508彰化縣和美鎮彰美路6段2號,02-27478711#3961,
1,8613,N000103,7-11鹿和門市,廖培雁,505彰化縣鹿港鎮鹿和路一段273.275號.,02-27478711#3961,
1,8613,N000100,7-11德美門市,廖培雁,508彰化縣和美鎮德美路700號,02-27478711#3961,
1,8613,N000099,7-11口庄門市,廖培雁,503彰化縣花壇鄉中山路2段649.651號,02-27478711#3961,
1,8613,N000098,7-11永靖門市,廖培雁,512彰化縣永靖鄉永坡路2號,02-27478711#3961,
1,8613,N000094,7-11鹿港門市,廖培雁,505彰化縣鹿港鎮中山路257號,02-27478711#3961,
1,8613,N000091,7-11埔鹽門市,廖培雁,516彰化縣埔鹽鄉彰水路二段36.38號,02-27478711#3961,
1,8613,N000088,7-11葉大門市,廖培雁,515彰化縣大村鄉山腳路112號.,02-27478711#3961,
1,8613,N000087,7-11田尾門市,廖培雁,522彰化縣田尾鄉光復路二段752號.,02-27478711#3961,
1,8613,N000084,7-11員東門市,廖培雁,510彰化縣員林市大同路1段205號1樓,02-27478711#3961,
1,8613,N000082,7-11豐昌門市,廖培雁,510彰化縣員林市中正路160.162號,02-27478711#3961,
1,8613,N000081,7-11秀傳門市,廖培雁,500彰化市中山路1段558.560號,02-27478711#3961,
1,8613,N000080,7-11彰工門市,廖培雁,500彰化縣彰化市進德路27號1樓,02-27478711#3961,
1,8613,N000076,7-11彰基門市,廖培雁,526彰化縣二林鎮大成路一段571號.,02-27478711#3961,
1,8613,N000071,7-11芬園門市,廖培雁,502彰化縣芬園鄉社口村信義路5號,02-27478711#3961,
1,8613,G000318,全聯實業股份有限公司宜蘭礁溪分公司,林玉華,262宜蘭縣礁溪鄉六結村育才路１號１樓,03-9889932,
1,8613,G000317,全聯實業股份有限公司宜蘭北門分公司,方嬿婷,260宜蘭縣宜蘭市中山路３段95、97號１樓,03-9315081,
1,8613,G000315,全聯實業股份有限公司宜蘭五結分公司,戴漢賓,268宜蘭縣五結鄉五結村五結路２段４４８號１樓,03-9601380,
1,8613,G000313,全聯實業股份有限公司羅東中正分公司,俞佳芬,265宜蘭縣羅東鎮南昌里中正南路88、90號１樓,03-9559203,
1,8613,G000312,全聯實業股份有限公司宜蘭冬山分公司,林麗芳,269宜蘭縣冬山鄉香和村冬山路１段８３７號１樓,03-9596821,
1,8613,G000311,全聯實業股份有限公司羅東純精分公司,楊偉鈞,265宜蘭縣羅東鎮賢文里純精路２段２３０號１樓,03-9566151,
1,8608,C000165,北都汽車股份有限公司大武崙分公司,高忠義,204基隆市安樂區武訓街92號,02-24337366,
1,8489,O000289,桃苗汽車股份有限公司-南新竹所,盧建成,300新竹市經國路三段123號,03-5303388,
1,8489,E000683,高都汽車楠梓營業所,陳坤祿,811高雄市楠梓區楠陽路139號,07-3520501,
1,5610,F002096,成和機車有限公司,林錦圳,234新北市永和區得和路313號,29288538,
1,5610,F002072,東茂車業有限公司,許東茂,235新北市中和區中山路2段475號,22223327,
1,5610,F002069,霸輪機車行,吳嘉斌,231新北市新店區安和路3段169號,29473561,
1,5610,F002064,佳順機車行,李欣怡,235新北市中和區南山路543號,29464366,
1,5610,D000371,SYM_世國車業,丁世國,702臺南市南區建南路261號,06-2615837,
